canonical_ticker,session_date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,source_symbol,delisting_return,corporate_action_note
CAR,2026-06-30,151.899993896484,153.100006103516,144.399993896484,147.830001831055,986500,CAR,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
CAR,2026-07-01,146.979995727539,150.479995727539,145.339996337891,146.940002441406,1296200,CAR,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
CAR,2026-07-02,148.779998779297,163.830001831055,147.860000610352,163.440002441406,543000,CAR,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
GEV,2026-05-29,995.501362051268,1003.25740889364,951.5238322064,967.825500488281,5276800,GEV,,provider_adjustment_factor=0.999489314656108;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
GEV,2026-06-01,959.479742487666,970.144337557741,938.520480527137,950.054565429688,2679300,GEV,,provider_adjustment_factor=0.999489329634863;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
GEV,2026-06-02,962.288369544466,976.501078581309,943.667878385774,969.1748046875,2248200,GEV,,provider_adjustment_factor=0.999489333245967;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
GEV,2026-06-03,976.491057684687,991.493402087802,956.101512228015,958.870056152344,2079500,GEV,,provider_adjustment_factor=0.999489316620769;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
GEV,2026-06-04,939.519970571238,968.255288820093,922.528651954525,962.838073730469,2180400,GEV,,provider_adjustment_factor=0.999489330394934;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
GEV,2026-06-05,946.806184838317,952.513290629229,920.984418148017,933.133178710938,3053500,GEV,,provider_adjustment_factor=0.99948928712406;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
GEV,2026-06-08,947.425863819269,952.303376423345,931.384072953204,933.373046875,1842200,GEV,,provider_adjustment_factor=0.99948928765497;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
GEV,2026-06-09,927.516076789155,947.355976232756,877.551615847927,919.680114746094,3842700,GEV,,provider_adjustment_factor=0.999489311899689;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
GEV,2026-06-10,897.051664671455,907.586260087832,855.572858107964,866.647216796875,5302800,GEV,,provider_adjustment_factor=0.999489314782919;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
GEV,2026-06-11,887.616493389158,920.049934230635,884.283174524281,906.326904296875,4261200,GEV,,provider_adjustment_factor=0.999489326369182;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
GEV,2026-06-12,907.03652752996,943.198042596297,907.03652752996,940.179565429688,2787700,GEV,,provider_adjustment_factor=0.999489286534392;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
GEV,2026-06-15,969.504631950349,986.715808608832,956.871072414699,978.570007324219,3428200,GEV,,provider_adjustment_factor=0.99948931128902;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
GEV,2026-06-16,991.849975585938,1009.29998779297,980.72998046875,982.349975585938,2761100,GEV,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc;events=dividend=0.5
GEV,2026-06-17,997.400024414062,1065.38000488281,992,1048.85998535156,3996000,GEV,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
GEV,2026-06-18,1091.03002929688,1117.9599609375,1087.28002929688,1109.72998046875,4344700,GEV,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
GEV,2026-06-22,1130.0400390625,1142,1112.43005371094,1127.58996582031,3916300,GEV,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
GEV,2026-06-23,1055.15002441406,1073,1034,1034.97998046875,3919200,GEV,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
GEV,2026-06-24,1046.16003417969,1070.9990234375,1023.08001708984,1057.65002441406,2948100,GEV,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
GEV,2026-06-25,1089.0400390625,1109.97998046875,1055,1085.46997070312,2750900,GEV,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
GEV,2026-06-26,1049.27502441406,1084.40100097656,1042,1045.17004394531,3654200,GEV,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
GEV,2026-06-29,1055.65002441406,1111.72998046875,1047,1102.51000976562,3180500,GEV,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
GEV,2026-06-30,1117,1178.19995117188,1103.34997558594,1174.85998535156,3096200,GEV,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
GEV,2026-07-01,1146.40002441406,1161.68994140625,1116.58996582031,1134.34997558594,2359600,GEV,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
GEV,2026-07-02,1138.93505859375,1143.36999511719,1087.07995605469,1113.10998535156,2360300,GEV,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
INTC,2026-05-29,123.849998474121,126.639999389648,113.540000915527,114.680000305176,191676100,INTC,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
INTC,2026-06-01,109.430000305176,113.300003051758,106.330001831055,109.330001831055,134900400,INTC,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
INTC,2026-06-02,107.449996948242,109,104.169998168945,107.930000305176,106336200,INTC,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
INTC,2026-06-03,116.419998168945,118.290000915527,110.860000610352,112.709999084473,118928800,INTC,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
INTC,2026-06-04,108.400001525879,113.139999389648,107.480003356934,111.779998779297,77325800,INTC,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
INTC,2026-06-05,106.480003356934,106.480003356934,98.3300018310547,99.1699981689453,145209400,INTC,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
INTC,2026-06-08,111,112.540000915527,106.660003662109,110.269996643066,136973900,INTC,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
INTC,2026-06-09,112.98999786377,114,99.4599990844727,107.919998168945,149623100,INTC,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
INTC,2026-06-10,106.029998779297,111.5,104.919998168945,107.040000915527,122653500,INTC,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
INTC,2026-06-11,113.519996643066,119.440002441406,110.51000213623,116.959999084473,188430300,INTC,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
INTC,2026-06-12,117.419998168945,127.599998474121,115.330001831055,124.569999694824,151169400,INTC,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
INTC,2026-06-15,129.490005493164,132.610000610352,126.660003662109,127.860000610352,134507500,INTC,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
INTC,2026-06-16,125.110000610352,128.699996948242,116,117.050003051758,132962600,INTC,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
INTC,2026-06-17,121.849998474121,125.199996948242,118.059997558594,121.099998474121,115324900,INTC,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
INTC,2026-06-18,131.809997558594,135.479995727539,127.900001525879,133.990005493164,233906600,INTC,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
INTC,2026-06-22,139.119995117188,141.449996948242,136.210006713867,140.940002441406,127190600,INTC,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
INTC,2026-06-23,129.729995727539,137.979995727539,128.300003051758,132.279998779297,132976700,INTC,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
INTC,2026-06-24,133.050003051758,136.080001831055,127.949996948242,131.649993896484,104591700,INTC,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
INTC,2026-06-25,139.729995727539,140.720001220703,125.410003662109,132.869995117188,122588800,INTC,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
INTC,2026-06-26,128.710006713867,131.229995727539,125.5,128.320007324219,99475400,INTC,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
INTC,2026-06-29,127,132.050003051758,118.5,131.720001220703,106805300,INTC,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
INTC,2026-06-30,131.990005493164,142.350006103516,131.520004272461,139.630004882812,116996700,INTC,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
INTC,2026-07-01,135,135.740005493164,126.680000305176,127.019996643066,113107200,INTC,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
INTC,2026-07-02,128.919998168945,130.740005493164,117.629997253418,120.349998474121,124577600,INTC,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
MU,2026-05-29,957,981,940.510009765625,971,60498600,MU,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
MU,2026-06-01,1009.71997070312,1046.96997070312,1009.5,1035.5,46552100,MU,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
MU,2026-06-02,1050,1076.56005859375,1017.20001220703,1064.09997558594,47555400,MU,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
MU,2026-06-03,1079.01000976562,1089.2900390625,1038.5,1079.56994628906,40324200,MU,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
MU,2026-06-04,1007.09997558594,1036.36999511719,971.679992675781,996,54917200,MU,,provider_adjustment_factor=1;method=adjusted_close_divided_by_raw_close_applied_to_all_ohlc
